company_id,company_name,industry,region,year,quarter,reporting_period,department,revenue_usd_m,opex_usd_m,production_output_units,energy_consumption_mwh,renewable_energy_share_pct,scope1_emissions_tco2e,scope2_emissions_tco2e,scope3_emissions_tco2e,water_withdrawal_m3,water_recycled_pct,waste_generated_tonnes,waste_recycled_pct,headcount,female_pct,minority_pct,avg_training_hours_per_employee,employee_turnover_pct,lost_time_incident_rate,community_investment_usd_m,pay_equity_ratio_female_to_male,employee_engagement_score,board_size,independent_directors_pct,board_gender_diversity_pct,anti_corruption_training_pct,data_breaches_count,whistleblower_reports,fines_penalties_usd_m,esg_policy_coverage_pct,supplier_code_of_conduct_coverage_pct,emissions_intensity_tco2e_per_musd,esg_score,controversy_level_0_low_3_high
GLX01,GreenLux Industries,Manufacturing,North America,2021,1,2021-Q1,Operations,214.9,173.25,12467,1374.2,0.326,254.44,176.94,1626.41,1834.2,0.404,156.28,0.394,87,0.227,0.209,11.75,0.169,0.96,0.0,0.898,80.8,10,0.611,0.292,0.665,0,0,0.0,0.73,0.49,9.58,50.3,1
GLX01,GreenLux Industries,Manufacturing,North America,2021,1,2021-Q1,Supply Chain,91.8,64.63,13269,677.7,0.366,97.73,79.45,715.85,360.1,0.372,192.35,0.329,5,0.442,0.292,8.61,0.136,0.07,0.321,0.957,77.3,10,0.656,0.313,0.738,0,1,0.0,0.662,0.601,9.73,47.1,0
GLX01,GreenLux Industries,Manufacturing,Asia,2021,1,2021-Q1,R&D,94.16,72.8,3878,570.4,0.274,126.41,82.5,710.98,951.7,0.506,13.82,0.549,34,0.356,0.306,6.05,0.169,0.37,1.087,0.924,67.1,10,0.6,0.317,0.77,0,0,0.095,0.777,0.48,9.77,48.1,0
GLX01,GreenLux Industries,Manufacturing,Europe,2021,1,2021-Q1,Sales,167.35,117.06,1513,2506.0,0.338,443.34,302.98,2095.69,1936.3,0.539,214.96,0.481,62,0.226,0.298,14.24,0.343,0.26,0.621,0.939,60.0,10,0.666,0.313,0.797,0,1,0.0,0.63,0.558,16.98,53.9,1
GLX01,GreenLux Industries,Manufacturing,Europe,2021,1,2021-Q1,HR,27.25,15.38,3385,176.6,0.375,13.84,24.59,143.25,564.4,0.334,26.36,0.344,5,0.454,0.373,19.11,0.248,0.81,0.0,0.934,66.4,10,0.668,0.329,0.698,1,1,0.114,0.768,0.567,6.67,53.5,1
GLX01,GreenLux Industries,Manufacturing,Europe,2021,1,2021-Q1,Finance,32.7,25.45,1556,710.3,0.463,90.74,78.33,616.09,622.8,0.263,47.88,0.286,5,0.48,0.283,18.84,0.207,0.85,0.156,0.898,74.8,10,0.581,0.319,0.753,0,3,0.059,0.738,0.543,24.01,51.2,2
GLX01,GreenLux Industries,Manufacturing,North America,2021,1,2021-Q1,IT,52.2,35.75,8678,422.2,0.259,95.13,57.24,569.86,400.5,0.365,63.05,0.313,38,0.425,0.406,21.22,0.111,0.11,0.449,0.955,78.1,10,0.774,0.307,0.818,1,1,0.0,0.681,0.501,13.84,49.9,0
GLX01,GreenLux Industries,Manufacturing,North America,2021,1,2021-Q1,Facilities,121.47,89.88,18828,641.8,0.262,144.18,85.87,902.93,764.0,0.405,53.28,0.737,137,0.489,0.388,14.06,0.202,1.11,0.0,0.927,62.0,10,0.589,0.34,0.73,0,1,0.032,0.599,0.642,9.33,53.6,2
GLX01,GreenLux Industries,Manufacturing,Latin America,2021,2,2021-Q2,Operations,211.32,161.47,30505,1120.9,0.291,233.5,135.92,752.13,2108.2,0.537,213.25,0.338,10,0.372,0.19,8.8,0.297,1.16,0.423,0.926,67.4,10,0.714,0.302,0.805,0,0,0.05,0.705,0.615,5.31,55.1,0
GLX01,GreenLux Industries,Manufacturing,North America,2021,2,2021-Q2,Supply Chain,97.82,67.09,9822,3305.1,0.355,576.69,388.15,4936.17,1093.3,0.378,67.1,0.425,11,0.333,0.389,15.43,0.145,0.48,0.424,0.964,75.8,10,0.587,0.273,0.795,1,0,0.172,0.646,0.736,60.33,51.1,2
